title	year	budget	length	rating	votes	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	mpaa	boxoffice	actor	actress	director	writer	Short	Drama	Comedy	Documentary	Adult	Action	Romance	Thriller	Animation	Family	Crime	Horror	Music	Adventure	Fantasy	Sci-Fi	Mystery	Biography	History	Sport	Musical	Western	War	Reality-TV	News	Talk-Show	Game-Show	Film-Noir	Lifestyle	Experimental	Erotica	Commercial
Monsters University	2013	200000000	104	7.4	183047	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	14.5		743559607	Ward,Jim(I)	Winchell,April	Scanlon,Dan(I)	Scanlon,Dan(I)	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monsters vs. Aliens	2009	175000000	94	6.9	237	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	14.5	PG	381509870	Wilson,Rainn	Zellweger,Renée	Vernon,Conrad(I)	Wolodarsky,Wallace	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monsters, Inc.	2001	115000000	92	8.1	457049	4.5	4.5	4.5	4.5	4.5	4.5	14.5	34.5	24.5	14.5		131600000	Unkrich,Lee	Tilly,Jennifer	Unkrich,Lee	Stanton,Andrew(I)	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monte Carlo	2011	20000000	109	5.8	26702	4.5	4.5	4.5	4.5	14.5	14.5	14.5	4.5	4.5	14.5	PG	334949550	Árpa,Attila	Vasselin,Séverine	Bezucha,Thomas	Maggenti,Maria	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Montevideo, vidimo se!	2014	5400000	141	8.6	3922	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	14.5	64.5		10045935	Zekic,Ivan	Vucelic,Aleksandra(II)	Bjelogrlic,Dragan	Vojnov,Dimitrije	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Monumental: In Search of America's National Treasure	2012	500000	90	4.9	517	24.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	44.5	PG	1189769	Weber,Ryan(V)	Lee,Maddie	Barnhart,Duane	Miller,Kevin(XI)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Moon	2009	5000000	97	8.0	217915	4.5	4.5	4.5	4.5	4.5	4.5	14.5	34.5	24.5	14.5	R	75970641	Wong,Benedict	Shaw,Rosie(II)	Jones,Duncan(II)	Parker,Nathan(III)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moon Over Parador	1988	20000000	103	5.9	4228	4.5	4.5	4.5	4.5	14.5	24.5	14.5	14.5	4.5	4.5		11444204	Xavier,Nelson	Sägebrecht,Marianne	Mazursky,Paul	Mazursky,Paul	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moonlight Mile	2002	21000000	120	6.7	11326	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	4.5	PG-13	71343817	Zsenyuk,StevenPaul	Trainor,MaryEllen	Silberling,Brad	Silberling,Brad	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moonraker	1979	34000000	126	6.2	59143	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5		210308099	Wilson,MichaelG.(I)	Warville,Lizzie	Gilbert,Lewis(II)	Wood,Christopher(I)	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moonrise Kingdom	2012	16000000	94	7.8	200596	4.5	4.5	4.5	4.5	4.5	4.5	14.5	34.5	24.5	14.5	PG-13	66263898	Young,LukeDavid	Yeoman,Caris	Anderson,Wes(I)	Coppola,Roman	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
More American Graffiti	1979	3000000	110	5.2	2877	4.5	4.5	4.5	14.5	24.5	14.5	14.5	4.5	4.5	4.5		8100000	Wright,Clay	Williams,Cindy(I)	Norton,BillL.	Norton,BillL.	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Morning Glory	2010	40000000	107	6.5	52219	4.5	4.5	4.5	4.5	14.5	24.5	34.5	14.5	4.5	4.5	PG-13	271058829	Younger,Rick	White,Welker	Michell,Roger(I)	BroshMcKenna,Aline(I)	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mortal Kombat	1995	18000000	101	5.8	72262	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	4.5	4.5	PG-13	51741822	WoodruffJr.,Tom	Wilson-Sampras,Bridgette	Anderson,PaulW.S.	Tobias,John(I)	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mortal Kombat: Annihilation	1997	30000000	95	3.6	32277	14.5	14.5	14.5	14.5	14.5	4.5	4.5	4.5	4.5	4.5	PG-13	51376861	Williams,Lynn'Red'	Vander,Musetta	Leonetti,JohnR.	Zabel,Bryce	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mortal Thoughts	1991	8000000	102	5.7	6386	4.5	4.5	4.5	4.5	24.5	24.5	14.5	4.5	4.5	4.5	R	19018321	Willis,Bruce	Wieder,AnnaMarie	Rudolph,Alan(I)	Reilly,William(I)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mortdecai	2015	60000000	107	5.5	7187	4.5	4.5	4.5	4.5	14.5	14.5	14.5	4.5	4.5	14.5	R	11806254	Witkin,Bruce(II)	Tearle,Georgie-May	Koepp,David	Bonfiglioli,Kyril	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moscow Zero	2006	10000000	82	3.2	1428	24.5	14.5	14.5	14.5	4.5	4.5	4.5	4.5	4.5	4.5	R	232057	Stallone,Sage	Vovenko,Ekaterina	Lidón,María	Ibañez,Adela	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moscow on the Hudson	1984	13000000	115	6.4	7621	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5		25100000	Wynkoop,Christopher	Wile,AnnE.	Mazursky,Paul	Mazursky,Paul	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
